The	﻿the
sang:	sang:
Poppé,	poppé
fahr	fahr
zu!	zu
Ein	ein
Volk	volk
von	von
Sklaven	sklaven
drängt	drängt
sich	sich
im	im
Hafen	hafen
um	um
nüchterne	nüchterne
Feste,	feste
und	und
die	die
Paläste	paläste
können	können
nicht	nicht
schlafen.	schlafen
Poppé,	poppé
fahr	fahr
zu!	zu
Eisige	eisige
Ruh	ruh
in	in
Marmorgliedern,	marmorgliedern
mit	mit
matten	matten
Lidern	lidern
erschauern	erschauern
die	die
Plätze.	plätze
Im	im
Gassennetze	gassennetze
betteln	betteln
die	die
Niedern.	niedern
Poppe,	poppe
fahr	fahr
zu!	zu
Sag	sag
mir,	mir
weißt	weißt
du	du
noch	noch
von	von
den	den
Toten,	toten
die	die
hier	hier
geboten	geboten
in	in
köstlichen	köstlichen
Kronen?	kronen?
Wo	wo
sie	sie
jetzt	jetzt
wohnen,	wohnen
die	die
Purpurroten?	purpurroten?
Poppé,	poppé
fahr	fahr
zu!	zu
IV	iv
Ave	ave
weht	weht
von	von
den	den
Türmen	türmen
her,	her
immer	immer
noch	noch
hörst	hörst
du	du
die	die
Kirchen	kirchen
erzählen;	erzählen;
doch	doch
die	die
Paläste	paläste
an	an
stillen	stillen
Kanälen	kanälen
verraten	verraten
nichts	nichts
mehr.	mehr
Und	und
vorbei	vorbei
an	an
der	der
Traumesruh	traumesruh
ihrer	ihrer
schlafenden	schlafenden
Stirnen	stirnen
schwanken	schwanken
leise	leise
Gondeln	gondeln
wie	wie
schwarze	schwarze
Gedanken	gedanken
dem	dem
Abend	abend
zu.	zu
ENGLAR	englar
IM	im
EPPAN	eppan
Später	später
Weg.	weg
Die	die
Hütten	hütten
kauern,	kauern
und	und
das	das
dumpfe	dumpfe
Dorf	dorf
schläft	schläft
ein.	ein
Ernste	ernste
Türme	türme
seh	seh
ich	ich
dauern,	dauern
weit	weit
aus	aus
weißen	weißen
Blütenschauern	blütenschauern
wächst	wächst
ihr	ihr
Weltverlorensein.	weltverlorensein
Abendbrand	abendbrand
in	in
brachen	brachen
Zinnen,	zinnen
und	und
der	der
Wind	wind
fährt	fährt
durch	durch
den	den
Saal.	saal
Und	und
für	für
wen	wen
im	im
Burghof	burghof
drinnen	drinnen
immer	immer
noch	noch
die	die
Brunnen	brunnen
rinnen--	rinnen--
keiner	keiner
weiß	weiß
es	es
dort	dort
im	im
Tal.	tal
TENNO	tenno
Der	der
Kirchhof	kirchhof
hoch	hoch
im	im
Sommerschnee	sommerschnee
gehört	gehört
zum	zum
Berghof	berghof
hin;	hin;
wie	wie
über	über
einem	einem
Hochlandsee	hochlandsee
wacht	wacht
Frieden	frieden
über	über
ihn.	ihn
Da	da
weiß	weiß
kein	kein
Blühn	blühn
vom	vom
Frühlingsstrahl.	frühlingsstrahl
Der	der
Rasen	rasen
schüchtert	schüchtert
frühfrostfahl,	frühfrostfahl
die	die
Kreuze	kreuze
arm,	arm
die	die
Hügel	hügel
kahl,	kahl
und	und
sacht	sacht
und	und
selten	selten
wächst	wächst
die	die
Zahl:	zahl:
einmal.	einmal
Der	der
Weg	weg
ist	ist
schlecht,	schlecht
der	der
Weg	weg
ist	ist
schmal.	schmal
Im	im
kleinen	kleinen
Dorf	dorf
ist	ist
kleine	kleine
Wahl	wahl
und	und
kleines	kleines
Glück	glück
und	und
kleine	kleine
Qual,--	qual,--
drum	drum
läuten	läuten
sie	sie
so	so
fern	fern
im	im
Tal:	tal:
einmal,--einmal,--einmal.--	einmal,--einmal,--einmal.--
CASABLANCA	casablanca
Am	am
Berge	berge
weiß	weiß
ich	ich
trutzen	trutzen
ein	ein
Kirchlein	kirchlein
mit	mit
rostigem	rostigem
Knauf,	knauf
wie	wie
Mönche	mönche
in	in
grauen	grauen
Kapuzen	kapuzen
steigen	steigen
Zypressen	zypressen
hinauf.	hinauf
Vergessene	vergessene
Heilige	heilige
wohnen	wohnen
dort	dort
einsam	einsam
im	im
Altarschrein;	altarschrein;
der	der
Abend	abend
reicht	reicht
ihnen	ihnen
Kronen	kronen
durch	durch
hohle	hohle
Fenster	fenster
hinein.	hinein
ARCO	arco
Die	die
Hochschneezinne,	hochschneezinne
schartig	schartig
scharf,	scharf
loht	loht
auf	auf
wie	wie
eine	eine
Mauerkrone,	mauerkrone
in	in
die	die
der	der
lachende	lachende
Nerone,	nerone
der	der
Morgen,	morgen
seine	seine
Fackel	fackel
warf.	warf
Und	und
wie	wie
die	die
Flammen	flammen
bis	bis
ins	ins
Blau	blau
sich	sich
zu	zu
verblühten	verblühten
Sternen	sternen
strecken,	strecken
erwacht	erwacht
das	das
Tal	tal
in	in
schönem	schönem
Schrecken	schrecken
und	und
taucht	taucht
empor	empor
aus	aus
Traum	traum
und	und
Tau.	tau
I	i
MULINI	mulini
Du	du
müde,	müde
morsche	morsche
Mühle,	mühle
dein	dein
Moosrad	moosrad
feiert	feiert
Ruh,	ruh
aus	aus
der	der
Olivenkühle	olivenkühle
schaut	schaut
dir	dir
der	der
Abend	abend
zu.	zu
Der	der
Bach	bach
singt	singt
wie	wie
verloren	verloren
Menschenlieder	menschenlieder
nach,	nach
tiefer	tiefer
über	über
die	die
Ohren	ohren
ziehst	ziehst
du	du
dein	dein
trutziges	trutziges
Dach.	dach
BODENSEE	bodensee
Die	die
Dörfer	dörfer
sind	sind
wie	wie
ein	ein
Garten.	garten
In	in
Türmen	türmen
von	von
seltsamen	seltsamen
Arten	arten
klingen	klingen
die	die
Glocken	glocken
wie	wie
weh.	weh
Uferschlösser	uferschlösser
warten	warten
und	und
schauen	schauen
durch	durch
schwarze	schwarze
Scharten	scharten
müd	müd
auf	auf
den	den
Mittagsee.	mittagsee
Und	und
schnellende	schnellende
Wellchen	wellchen
spielen,	spielen
und	und
goldene	goldene
Dampfer	dampfer
kielen	kielen
leise	leise
den	den
lichten	lichten
Lauf;	lauf;
und	und
hinter	hinter
den	den
Uferzielen	uferzielen
tauchen	tauchen
die	die
vielen,	vielen
vielen	vielen
Silberberge	silberberge
auf.	auf
KONSTANZ	konstanz
Dem	dem
Tag	tag
ist	ist
so	so
todesweh	todesweh
Müd	müd
gießt	gießt
er	er
aus	aus
goldenen	goldenen
Kelchen	kelchen
Wein	wein
in	in
den	den
Bergesschnee.	bergesschnee
Hoch	hoch
schüchtert,	schüchtert
scheu	scheu
wie	wie
ein	ein
Reh,	reh
ein	ein
Stern	stern
überm	überm
Uferschleh,	uferschleh
und	und
ziere,	ziere
zitternde	zitternde
Weilchen	weilchen
gittern	gittern
den	den
Abendsee.	abendsee
FUNDE	funde
Wenn	wenn
wie	wie
ein	ein
leises	leises
Flügelbreiten	flügelbreiten
sich	sich
in	in
den	den
späten	späten
Lüften	lüften
wiegt,--	wiegt,--
ich	ich
möchte	möchte
immer	immer
weiter	weiter
schreiten	schreiten
bis	bis
in	in
das	das
Tal,	tal
wo	wo
riefgeschmiegt	riefgeschmiegt
an	an
abendrote	abendrote
Einsamkeiten	einsamkeiten
die	die
Sehnsucht	sehnsucht
wie	wie
ein	ein
Garten	garten
liegt.	liegt
Vielleicht	vielleicht
darf	darf
ich	ich
dich	dich
dorten	dorten
rinden,	rinden
und	und
zage	zage
wird	wird
dein	dein
erstes	erstes
Mühn	mühn
die	die
wehen	wehen
Wünsche	wünsche
mir	mir
verbinden,	verbinden
du	du
wirst	wirst
mich	mich
führen	führen
tief	tief
ins	ins
Grün--	grün--
und	und
heimlich	heimlich
werden	werden
weiße	weiße
Winden	winden
an	an
meinem	meinem
staubigen	staubigen
Stabe	stabe
blühn.	blühn
Ich	ich
möchte	möchte
draußen	draußen
dir	dir
begegnen,	begegnen
wenn	wenn
Mai	mai
auf	auf
Wunder	wunder
Wunder	wunder
häuft,	häuft
und	und
wenn	wenn
ein	ein
leises	leises
Seelensegnen	seelensegnen
von	von
allen	allen
Zweigen	zweigen
niederträuft.	niederträuft
Wenn	wenn
bis	bis
zum	zum
Wegkreuz	wegkreuz
auf,	auf
zum	zum
schlanken,	schlanken
Jasmin	jasmin
die	die
weißen	weißen
Arme	arme
streckt	streckt
und	und
lind	lind
den	den
ewgen	ewgen
Wehgedanken	wehgedanken
der	der
Stirne	stirne
Christi	christi
überdeckt.	überdeckt
Ich	ich
mußte	mußte
denken	denken
unverwandt,	unverwandt
wie	wie
ich	ich
einst	einst
zwischen	zwischen
schwarzen	schwarzen
Pinien	pinien
den	den
tiefen	tiefen
Frühling	frühling
sinnen	sinnen
fand,	fand
als	als
ich	ich
vor	vor
deiner	deiner
Schönheit	schönheit
stand	stand
und	und
durch	durch
der	der
Scheitel	scheitel
dunkle	dunkle
Linien	linien
dein	dein
Antlitz	antlitz
träumte	träumte
wie	wie
ein	ein
Land.	land
Es	es
schlich	schlich
von	von
deiner	deiner
Lippen	lippen
Saum	saum
ein	ein
Lächeln	lächeln
auf	auf
verlornem	verlornem
Pfade--	pfade--
ganz	ganz
leis.	leis
Die	die
andern	andern
merktens	merktens
kaum.	kaum
So	so
weht	weht
ein	ein
Blatt	blatt
vom	vom
Blütenbaum:	blütenbaum:
Nur	nur
einer	einer
schaut	schaut
die	die
Frühlingsgnade,	frühlingsgnade
und	und
der	der
sie	sie
schaut,	schaut
ist	ist
wie	wie
im	im
Traum.	traum
Fremd	fremd
ist,	ist
was	was
deine	deine
Lippen	lippen
sagen,	sagen
fremd	fremd
ist	ist
dein	dein
Haar,	haar
fremd	fremd
ist	ist
dein	dein
Kleid	kleid
fremd	fremd
ist,	ist
was	was
deine	deine
Augen	augen
fragen,	fragen
und	und
auch	auch
aus	aus
unsern	unsern
wilden	wilden
Tagen	tagen
reicht	reicht
nicht	nicht
ein	ein
leises	leises
Wellenschlagen	wellenschlagen
an	an
deine	deine
tiefe	tiefe
Seltsamkeit.	seltsamkeit
Du	du
bist	bist
wie	wie
jene	jene
Bildgestalten,	bildgestalten
die	die
überm	überm
leeren	leeren
Altarspind	altarspind
noch	noch
immer	immer
ihre	ihre
Hände	hände
falten,	falten
noch	noch
immer	immer
alte	alte
Kränze	kränze
halten,	halten
noch	noch
immer	immer
leise	leise
Wunder	wunder
walten--	walten--
wenn	wenn
längst	längst
schon	schon
keine	keine
Wunder	wunder
sind.	sind
Du	du
bist	bist
so	so
fremd,	fremd
du	du
bist	bist
so	so
bleich.	bleich
Nur	nur
manchmal	manchmal
glüht	glüht
auf	auf
deinen	deinen
Wange	wange
ein	ein
hoffnungsloses	hoffnungsloses
Heimverlangen	heimverlangen
nach	nach
dem	dem
verlornen	verlornen
Rosenreich.	rosenreich
Dann	dann
sehnt	sehnt
dein	dein
Auge,	auge
tief	tief
und	und
klar,	klar
aus	aus
allem	allem
Müssen,	müssen
allem	allem
Mühen	mühen
ins	ins
Land,	land
wo	wo
nichts	nichts
als	als
stilles	stilles
Blühen	blühen
die	die
Arbeit	arbeit
deiner	deiner
Hände	hände
war.	war
Weißt	weißt
du,	du
ich	ich
will	will
mich	mich
schleichen	schleichen
leise	leise
aus	aus
lautem	lautem
Kreis,	kreis
wenn	wenn
ich	ich
erst	erst
die	die
bleichen	bleichen
Sterne	sterne
über	über
den	den
Eichen	eichen
blühen	blühen
weiß.	weiß
Wege	wege
will	will
ich	ich
erkiesen,	erkiesen
die	die
selten	selten
wer	wer
betritt	betritt
in	in
blassen	blassen
Abendwiesen--	abendwiesen--
und	und
keinen	keinen
Traum,	traum
als	als
diesen:	diesen:
Du	du
gehst	gehst
mit.	mit
Bei	bei
dir	dir
ist	ist
es	es
traut:	traut:
Zage	zage
Uhren	uhren
schlagen	schlagen
wie	wie
aus	aus
weiten	weiten
Tagen.	tagen
Komm	komm
mir	mir
ein	ein
Liebes	liebes
sagen:	sagen:
aber	aber
nur	nur
nicht	nicht
laut.	laut
Ein	ein
Tor	tor
geht	geht
irgendwo	irgendwo
draußen	draußen
im	im
Blütentreiben.	blütentreiben
Der	der
Abend	abend
horcht	horcht
an	an
den	den
Scheiben.	scheiben
Laß	laß
uns	uns
leise	leise
bleiben:	bleiben:
Keiner	keiner
weiß	weiß
uns	uns
so.	so
Die	die
Nacht	nacht
holt	holt
heimlich	heimlich
durch	durch
des	des
Vorhangs	vorhangs
Falten	falten
aus	aus
deinem	deinem
Haar	haar
vergeßnen	vergeßnen
Sonnenschein.	sonnenschein
Schau,	schau
ich	ich
will	will
nichts,	nichts
als	als
deine	deine
Hände	hände
halten	halten
und	und
still	still
und	und
gut	gut
und	und
voller	voller
Frieden	frieden
sein.	sein
Da	da
wächst	wächst
die	die
Seele	seele
mir,	mir
bis	bis
sie	sie
in	in
Scherben	scherben
den	den
Alltag	alltag
sprengt;	sprengt;
sie	sie
wird	wird
so	so
wunderweit:	wunderweit:
An	an
ihren	ihren
morgenroten	morgenroten
Molen	molen
sterben	sterben
die	die
ersten	ersten
Wellen	wellen
der	der
Unendlichkeit.	unendlichkeit
Du,	du
Hände,	hände
welche	welche
immer	immer
geben,	geben
die	die
müssen	müssen
blühn	blühn
von	von
fremdem	fremdem
Glück.	glück
Zart	zart
wie	wie
ein	ein
zartes	zartes
Birkenbeben,	birkenbeben
bleibt	bleibt
von	von
dem	dem
gebenden	gebenden
Erleben	erleben
ein	ein
Rhythmenzittern	rhythmenzittern
drin	drin
zurück.	zurück
Das	das
sind	sind
die	die
Hände	hände
mit	mit
den	den
schmalen	schmalen
Gelenken,	gelenken
die	die
sich	sich
leise	leise
mühn;	mühn;
und	und
wüßten	wüßten
die	die
von	von
Kathedralen,	kathedralen
sie	sie
müßten	müßten
sich	sich
in	in
Wundenmalen	wundenmalen
vor	vor
allem	allem
Volke	volke
heiligblühn.	heiligblühn
Bist	bist
gewandert	gewandert
durch	durch
Wahn	wahn
und	und
Weh,	weh
kommst	kommst
aus	aus
meinen	meinen
dunkelsten	dunkelsten
Tagen,	tagen
hast	hast
dir	dir
eine	eine
Brücke	brücke
geschlagen	geschlagen
bis	bis
zu	zu
mir	mir
über	über
Schuld	schuld
und	und
Schnee.	schnee
Lenkst	lenkst
mich	mich
lächelnd	lächelnd
mit	mit
leisem	leisem
Gebot,	gebot
und	und
auf	auf
kronengoldenen	kronengoldenen
Locken	locken
trägst	trägst
du	du
flüchtige	flüchtige
Federflocken	federflocken
in	in
den	den
fröhlichen	fröhlichen
Frühlingstod.	frühlingstod
Will	will
dir	dir
den	den
Frühling	frühling
zeigen,	zeigen
der	der
hundert	hundert
Wunder	wunder
hat.	hat
Der	der
Frühling	frühling
ist	ist
waldeigen	waldeigen
und	und
kommt	kommt
nicht	nicht
in	in
die	die
Stadt.	stadt
Nur	nur
die	die
weit	weit
aus	aus
den	den
kalten	kalten
Gassen	gassen
zu	zu
zweien	zweien
gehn	gehn
und	und
sich	sich
bei	bei
den	den
Händen	händen
halten--	halten--
dürfen	dürfen
ihn	ihn
einmal	einmal
sehn.	sehn
Und	und
dieser	dieser
Frühling	frühling
macht	macht
dich	dich
bleicher,	bleicher
in	in
weite	weite
Wiesen	wiesen
will	will
dein	dein
Fuß,	fuß
dein	dein
Lied	lied
wird	wird
leis,	leis
dein	dein
Wort	wort
wird	wird
weicher,	weicher
und	und
deine	deine
Hände	hände
werden	werden
reicher	reicher
mit	mit
jedem	jedem
Wink,	wink
mit	mit
jedem	jedem
Gruß.	gruß
Du	du
holst	holst
aus	aus
düfteschwüler	düfteschwüler
Lade	lade
dein	dein
Konfirmandenkleidchen	konfirmandenkleidchen
dreist	dreist
und	und
trägst	trägst
es	es
in	in
die	die
wilden	wilden
Pfade	pfade
und	und
schmückst	schmückst
dich	dich
für	für
die	die
große	große
Gnade,	gnade
die	die
deine	deine
Seele	seele
blühen	blühen
heißt.	heißt
Mir	mir
ist:	ist:
ich	ich
muß	muß
dir	dir
den	den
Brautnachtstrauß	brautnachtstrauß
weit	weit
aus	aus
dem	dem
Abend	abend
bringen.	bringen
Ich	ich
geh	geh
in	in
die	die
goldene	goldene
Stunde	stunde
hinaus,	hinaus
und	und
die	die
Fenster	fenster
leuchten	leuchten
am	am
letzten	letzten
Haus,	haus
drin	drin
spielende	spielende
Kinder	kinder
singen.	singen
Und	und
ich	ich
geh	geh
an	an
dem	dem
einsamen	einsamen
Haus	haus
vorbei,	vorbei
drin	drin
singende	singende
Kinder	kinder
wohnen,	wohnen
und	und
mein	mein
Wandern	wandern
wächst	wächst
und	und
wächst	wächst
in	in
den	den
Mal	mal
und	und
kann	kann
nicht	nicht
zurück,--und	zurück,--und
die	die
Blüten,	blüten
verzeih,	verzeih
die	die
wind	wind
ich	ich
mir	mir
alle	alle
zu	zu
Kronen.	kronen
Bist	bist
du	du
so	so
müd?	müd?
Ich	ich
will	will
dich	dich
leise	leise
leiten	leiten
aus	aus
diesem	diesem
Lärm,	lärm
der	der
längst	längst
auch	auch
mich	mich
verdroß.	verdroß
Wir	wir
werden	werden
wund	wund
im	im
Zwange	zwange
dieser	dieser
Zeiten.	zeiten
Schau,	schau
hinterm	hinterm
Wald,	wald
in	in
dem	dem
wir	wir
schauernd	schauernd
schreiten,	schreiten
harrt	harrt
schon	schon
der	der
Abend	abend
wie	wie
ein	ein
helles	helles
Schloß.	schloß
Komm	komm
du	du
mit	mit
mir.	mir
Es	es
soll	soll
kein	kein
Morgen	morgen
wissen,	wissen
und	und
deiner	deiner
Schönheit	schönheit
kuscht	kuscht
kein	kein
Licht	licht
im	im
Haus....	haus
Dein	dein
Duft	duft
geht	geht
wie	wie
ein	ein
Frühling	frühling
durch	durch
die	die
Kissen:	kissen:
Der	der
Tag	tag
hat	hat
alle	alle
Träume	träume
mir	mir
zerrissen,--	zerrissen,--
du,	du
winde	winde
wieder	wieder
einen	einen
Kranz	kranz
daraus.	daraus
Du:	du:
ein	ein
Schloß	schloß
an	an
wellenschweren,	wellenschweren
atlasblassen	atlasblassen
Abendmeeren--	abendmeeren--
und	und
in	in
seinen	seinen
säulenhehren	säulenhehren
Sälen	sälen
warten	warten
Preis	preis
und	und
Prunk,	prunk
uns	uns
zu	zu
ehren:	ehren:
Weil	weil
wir	wir
beide	beide
wiederkehren--	wiederkehren--
ohne	ohne
Kronen	kronen
und	und
mit	mit
leeren	leeren
Händen--	händen--
aber	aber
jung	jung
Purpurrote	purpurrote
Rosen	rosen
binden	binden
möcht	möcht
ich	ich
mir	mir
für	für
meinen	meinen
Tisch	tisch
und,	und
verloren	verloren
unter	unter
Linden,	linden
irgendwo	irgendwo
ein	ein
Mädchen	mädchen
finden,	finden
klug	klug
und	und
blond	blond
und	und
träumerisch.	träumerisch
Möchte	möchte
seine	seine
Hände	hände
fassen,	fassen
möchte	möchte
knieen	knieen
vor	vor
dem	dem
Kind	kind
und	und
den	den
Mund,	mund
den	den
sehnsuchtblassen,	sehnsuchtblassen
mir	mir
von	von
Lippen	lippen
küssen	küssen
lassen,	lassen
die	die
der	der
Frühling	frühling
selber	selber
sind.	sind
Ein	ein
Händeineinanderlegen,	händeineinanderlegen
ein	ein
langer	langer
Kuß	kuß
auf	auf
kühlen	kühlen
Mund,	mund
und	und
dann;	dann;
auf	auf
Schimmer	schimmer
weißen	weißen
Wegen	wegen
durchwandern	durchwandern
wir	wir
den	den
Wiesengrund.	wiesengrund
Durch	durch
leisen,	leisen
weißen	weißen
Blütenregen	blütenregen
schickt	schickt
uns	uns
der	der
Tag	tag
den	den
ersten	ersten
Kuß,--	kuß,--
mir	mir
ist:	ist:
wir	wir
wandeln	wandeln
Gott	gott
entgegen,	entgegen
der	der
durchs	durchs
Gebreite	gebreite
kommen	kommen
muß.	muß
Du	du
willst	willst
dir	dir
einen	einen
Pagen	pagen
küren?	küren?
Mich	mich
komm	komm
erküren,	erküren
Königin.	königin
Mir	mir
klingt	klingt
aus	aus
alten	alten
Aventüren	aventüren
ein	ein
Sang	sang
in	in
Saitenspiel	saitenspiel
und	und
Sinn.	sinn
Ich	ich
will	will
ins	ins
weiße	weiße
Schloß	schloß
dich	dich
führen,	führen
in	in
dem	dem
ich	ich
selber	selber
König	könig
bin,	bin
und	und
singen	singen
hinter	hinter
tausend	tausend
Türen	türen
für	für
meine	meine
weiße	weiße
Königin.	königin
Abend	abend
hat	hat
mich	mich
müd	müd
gemacht,	gemacht
und	und
in	in
meinen	meinen
Sinnen	sinnen
schrillen	schrillen
kleine	kleine
Wünsche	wünsche
mit	mit
den	den
Grillen.	grillen
Wo	wo
das	das
blasse	blasse
Land	land
verflacht,	verflacht
liegen	liegen
lauter	lauter
weiße	weiße
Villen	villen
hinter	hinter
roter	roter
Rosenpracht.	rosenpracht
Liegen	liegen
wie	wie
auf	auf
leiser	leiser
Wacht	wacht
weiße	weiße
Villen	villen
an	an
dem	dem
stillen	stillen
Uferrand	uferrand
der	der
Frühlingsnacht.	frühlingsnacht
Was	was
reißt	reißt
ihr	ihr
aus	aus
meinen	meinen
blassen,	blassen
blauen	blauen
Stunden	stunden
mich	mich
in	in
der	der
wirbelnden	wirbelnden
Kreise	kreise
wirres	wirres
Geflimmer?	geflimmer?
Ich	ich
mag	mag
nicht	nicht
mehr	mehr
euren	euren
Wahnsinn	wahnsinn
schauen.	schauen
Ich	ich
will	will
wie	wie
ein	ein
Kind	kind
im	im
Krankenzimmer	krankenzimmer
einsam,	einsam
mit	mit
heimlichem	heimlichem
Lächeln,	lächeln
leise,	leise
leise--Tage	leise--tage
und	und
Träume	träume
bauen.	bauen
Mir	mir
war	war
so	so
weh.	weh
Ich	ich
sah	sah
dich	dich
blaß	blaß
und	und
bang.	bang
Das	das
war	war
im	im
Traum.	traum
Und	und
deine	deine
Seele	seele
klang.	klang
Ganz	ganz
leise	leise
tönte	tönte
meine	meine
Seele	seele
mit,	mit
und	und
beide	beide
Seelen	seelen
sangen	sangen
sich;	sich;
Ich	ich
litt.	litt
Da	da
wurde	wurde
Friede	friede
tief	tief
in	in
mir.	mir
Ich	ich
lag	lag
im	im
Silberhimmel	silberhimmel
zwischen	zwischen
Traum	traum
und	und
Tag.	tag
Wie	wie
meine	meine
Träume	träume
nach	nach
dir	dir
schrein.	schrein
Wir	wir
sind	sind
uns	uns
mühsam	mühsam
fremd	fremd
geworden,	geworden
jetzt	jetzt
will	will
es	es
mir	mir
die	die
Seele	seele
morden,	morden
dies	dies
arme,	arme
bange	bange
Einsamsein.	einsamsein
Kein	kein
Hoffen,	hoffen
das	das
die	die
Segel	segel
bauscht.	bauscht
Nur	nur
diese	diese
